Amount	Comp.	Exch.	Total	Theory
1000	499500	255998	755498	1000000
2000	1999000	997534	2996534	4000000
3000	4498500	2239930	6738430	9000000
4000	7998000	3992089	11990089	16000000
5000	12497500	6173235	18670735	25000000
6000	17997000	8935965	26932965	36000000
7000	24496500	12420371	36916871	49000000
8000	31996000	16358544	48354544	64000000
