Amount	Comp.	Exch.	Total	Theory
1000	64000	64000	128000	32000
2000	128000	128000	256000	64000
3000	192000	192000	384000	96000
4000	256000	256000	512000	128000
5000	320000	320000	640000	160000
6000	384000	384000	768000	192000
7000	448000	448000	896000	224000
8000	512000	512000	1024000	256000
